Sustainable Alternatives,xp,CO2 Emissions Reduction 값,
Add dead flowers to the compost pile.,25,0.2,"When you compost one batch of dead flowers,
Organic Waste Reduction: 1.0 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.8 liters"
Bring your own reusable containers for takeout.,15,0.08,"When you skip one Plastic Takeout Container,  Plastic Waste Reduction: 0.01 kg CO2 Emissions Reduction: 0.08 kg Landfill Use Reduction: 0.1 liters"
Build a modular PC with upgradable parts.,50,200.0,"When you skip one desktop PC,
Electronic Waste Reduction: 10.0 kg
CO2 Emissions Reduction: 200.0 kg
Landfill Use Reduction: 3.0 liters"
Buy in bulk when possible and return unused portions.,15,0.05,"When you properly dispose of one over-the-counter medication,
Environmental Pollution Reduction: Moderate
Water Contamination Prevention: Important
Public Safety Improvement: Moderate"
Carry reusable bags instead of using plastic ones.,15,0.05,"When you skip one plastic bag,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.1 liters"
Choose a durable smartwatch and minimize upgrades.,35,2.0,"When you skip one smartwatch,
Electronic Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 2.0 kg
Landfill Use Reduction: 0.05 liters"
Choose a durable vacuum cleaner with replaceable parts.,50,50.0,"When you skip one vacuum cleaner,
Electronic Waste Reduction: 5.0 kg
CO2 Emissions Reduction: 50.0 kg
Landfill Use Reduction: 2.0 liters"
"Choose a durable, rechargeable mouse.",35,2.0,"When you skip one mouse,
Electronic Waste Reduction: 0.2 kg
CO2 Emissions Reduction: 2.0 kg
Landfill Use Reduction: 0.2 liters"
Choose a high-quality microphone with replaceable parts.,35,2.0,"When you skip one microphone,
Electronic Waste Reduction: 0.2 kg
CO2 Emissions Reduction: 2.0 kg
Landfill Use Reduction: 0.2 liters"
Choose a refillable ink printer and maintain it well.,50,50.0,"When you skip one printer,
Electronic Waste Reduction: 5.0 kg
CO2 Emissions Reduction: 50.0 kg
Landfill Use Reduction: 2.0 liters"
Choose a reusable newspaper sleeve or opt for no bag.,10,0.03,"When you skip one plastic newspaper bag,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.03 kg
Landfill Use Reduction: 0.1 liters"
Choose binders made from recycled cardboard or fabric.,25,0.4,"When you skip one plastic binder,
Plastic Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 0.4 kg
Landfill Use Reduction: 0.5 liters"
Choose biodegradable planters made from coir or recycled paper.,25,0.3,"When you repurpose or recycle one ceramic planter,
Ceramic Waste Reduction: 1.0 kg
CO2 Emissions Reduction: 0.3 kg
Landfill Use Reduction: 0.8 liters"
Choose compostable or recycled delivery boxes.,30,0.7,"When you skip one cardboard food delivery box,
Paper Waste Reduction: 0.2 kg
CO2 Emissions Reduction: 0.7 kg
Landfill Use Reduction: 0.4 liters"
Choose compostable packaging to reduce plastic waste.,20,0.15,"When you skip Plastic Food Packaging Etc., you can reduce Plastic Waste, CO2 Emissions and Landfill Use."
"Choose durable, long-lasting glassware.",20,0.15,"When you skip one drinking glass,
Glass Waste Reduction: 0.2 kg
CO2 Emissions Reduction: 0.15 kg
Landfill Use Reduction: 0.25 liters"
Choose e-books or books printed on recycled paper.,35,1.5,"When you skip one book,
Paper Waste Reduction: 0.5 kg
CO2 Emissions Reduction: 1.5 kg
Landfill Use Reduction: 1.0 liters"
Choose glass or stainless steel juice bottles.,20,0.12,"When you skip one bottle,  Plastic Waste Reduction: 0.03 kg CO2 Emissions Reduction: 0.12 kg Landfill Use Reduction: 0.2 liters"
"Choose high-quality, long-lasting speakers.",50,20.0,"When you skip one speaker,
Electronic Waste Reduction: 2.0 kg
CO2 Emissions Reduction: 20.0 kg
Landfill Use Reduction: 1.0 liters"
Choose ice cream in paper or cardboard tubs.,20,0.15,"When you skip one Plastic Ice Cream Tub,  Plastic Waste Reduction: 0.04 kg CO2 Emissions Reduction: 0.15 kg Landfill Use Reduction: 0.3 liters"
Choose long-lasting glass bowls.,25,0.2,"When you skip one glass bowl,
Glass Waste Reduction: 0.25 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.3 liters"
Choose metal or bamboo spoons.,15,0.05,"When you skip one spoon,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.1 liters"
Choose metal or ceramic pipes where possible.,25,0.5,"When you skip one meter of plastic pipe,
Plastic Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 0.5 kg
Landfill Use Reduction: 0.5 liters"
Choose recycled or sustainable glass tiles.,35,3.0,"When you skip one square meter of glass tile,
Glass Waste Reduction: 4.0 kg
CO2 Emissions Reduction: 3.0 kg
Landfill Use Reduction: 5.0 liters"
Choose reusable glass bottles.,25,0.4,"When you skip one juice bottle,
Glass Waste Reduction: 0.5 kg
CO2 Emissions Reduction: 0.4 kg
Landfill Use Reduction: 0.6 liters"
Choose soles made from recycled or sustainable materials.,30,0.6,"Plastic Shoe Soles (PET):
When you skip one pair of plastic shoe soles,
Plastic Waste Reduction: 0.15 kg
CO2 Emissions Reduction: 0.6 kg
Landfill Use Reduction: 0.8 liters"
"Choose toys made from wood, metal, or other sustainable materials.",35,1.5,"When you skip one plastic toy,
Plastic Waste Reduction: 0.5 kg
CO2 Emissions Reduction: 1.5 kg
Landfill Use Reduction: 2.0 liters"
Choose trays made from biodegradable or compostable materials.,20,0.1,"When you skip one plastic seed tray,
Plastic Waste Reduction: 0.03 kg
CO2 Emissions Reduction: 0.1 kg
Landfill Use Reduction: 0.2 liters"
Compost fallen fruit or use it to feed wildlife.,25,0.4,"When you compost one batch of fallen fruit,
Organic Waste Reduction: 2.0 kg
CO2 Emissions Reduction: 0.4 kg
Landfill Use Reduction: 1.5 liters"
Compost garden weeds if they haven't gone to seed.,25,0.4,"When you compost one batch of garden weeds,
Organic Waste Reduction: 2.0 kg
CO2 Emissions Reduction: 0.4 kg
Landfill Use Reduction: 1.5 liters"
Compost old mulch or refresh it by adding new mulch on top.,30,1.0,"When you compost or reuse one batch of old mulch,
Organic Waste Reduction: 5.0 kg
CO2 Emissions Reduction: 1.0 kg
Landfill Use Reduction: 4.0 liters"
Compost pruned plant material or use as mulch.,25,0.5,"When you compost one batch of pruned plant material, Organic Waste Reduction: 3.0 kg CO2 Emissions Reduction: 0.5 kg Landfill Use Reduction: 2.5 liters"
"Continue using a copper bottle, which is sustainable and durable.",35,2.0,"When you skip one copper water bottle,
Metal Waste Reduction: 0.25 kg
CO2 Emissions Reduction: 2.0 kg
Landfill Use Reduction: 0.3 liters"
Continue using a durable metal screwdriver.,25,0.5,"When you skip one metal screwdriver,
Metal Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 0.5 kg
Landfill Use Reduction: 0.2 liters"
"Continue using a stainless steel bottle, which is already sustainable.",25,0.2,"When you skip one aluminum can,
Metal Waste Reduction: 0.015 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.1 liters"
Continue using high-quality metal scissors.,25,0.5,"When you skip one metal scissors,
Metal Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 0.5 kg
Landfill Use Reduction: 0.2 liters"
Continue using LED bulbs for efficiency.,15,0.05,"When you skip one LED bulb,
Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.05 kg
Landfill Use Reduction: 0.02 liters"
"Continue using metal cutlery, which is reusable.",25,0.2,"When you skip one metal utensil (fork, spoon, knife),
Metal Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 0.2 kg
Landfill Use Reduction: 0.1 liters"
Continue using stainless steel or cast iron cookware.,40,5.0,"When you skip one metal pot or pan,
Metal Waste Reduction: 1.0 kg
CO2 Emissions Reduction: 5.0 kg
Landfill Use Reduction: 2.0 liters"
Create DIY pen holders using recycled materials like cans or cardboard.,20,0.1,"When you repurpose or recycle one ceramic pen holder,
Ceramic Waste Reduction: 0.2 kg
CO2 Emissions Reduction: 0.1 kg
Landfill Use Reduction: 0.2 liters"
Donate gently used items to charities.,20,0.1,"When you repurpose or recycle one ceramic plate,
Ceramic Waste Reduction: 0.5 kg
CO2 Emissions Reduction: 0.1 kg
Landfill Use Reduction: 0.4 liters"
Donate if in good condition,35,2.0,"When you donate or recycle one item of old clothing,
Textile Waste Reduction: 0.5 kg
CO2 Emissions Reduction: 2.0 kg
Landfill Use Reduction: 1.0 liters"
Donate or repair shoes to extend their life.,35,3.0,"When you donate or recycle one pair of shoes,
Textile Waste Reduction: 1.0 kg
CO2 Emissions Reduction: 3.0 kg
Landfill Use Reduction: 1.5 liters"
Donate or repurpose hats.,30,0.8,"When you donate or recycle one hat,
Textile Waste Reduction: 0.2 kg
CO2 Emissions Reduction: 0.8 kg
Landfill Use Reduction: 0.4 liters"
Donate or repurpose old bedding.,45,8.0,"When you donate or recycle one set of bedding,
Textile Waste Reduction: 2.0 kg
CO2 Emissions Reduction: 8.0 kg
Landfill Use Reduction: 4.0 liters"
Donate or repurpose scarves into other items.,30,0.8,"When you donate or recycle one scarf,
Textile Waste Reduction: 0.2 kg
CO2 Emissions Reduction: 0.8 kg
Landfill Use Reduction: 0.4 liters"
Donate or upcycle gloves.,25,0.4,"When you donate or recycle one pair of gloves,
Textile Waste Reduction: 0.1 kg
CO2 Emissions Reduction: 0.4 kg
Landfill Use Reduction: 0.2 liters"
Donate or upcycle old clothes.,35,2.0,"When you donate or recycle one item of old clothing,
Textile Waste Reduction: 0.5 kg
CO2 Emissions Reduction: 2.0 kg
Landfill Use Reduction: 1.0 liters"
Extend the lifespan by using protective cases and regular maintenance.,45,7.0,"When you skip one smartphone,
Electronic Waste Reduction: 0.2 kg
CO2 Emissions Reduction: 7.0 kg
Landfill Use Reduction: 0.1 liters"
Invest in a durable hair dryer and maintain it properly.,40,5.0,"When you skip one hair dryer,
Electronic Waste Reduction: 0.5 kg
CO2 Emissions Reduction: 5.0 kg
Landfill Use Reduction: 0.5 liters"
Invest in a high-quality monitor and maintain it properly.,50,50.0,"When you skip one monitor,
Electronic Waste Reduction: 5.0 kg
CO2 Emissions Reduction: 50.0 kg
Landfill Use Reduction: 2.0 liters"
